item_id_A,item_id_B
1915966,109153
1915969,2683660
1915972,114260
1915974,1091419
1915976,109893
1915997,953810
1916000,97581
1916006,953773
1916030,92712
1916031,92711
1916043,111328
1916044,106749
1916045,948477
1916046,948474
1916047,111343
1916048,111415
1916050,111343
1916052,111533
1916054,1089702
1916059,111415
1916061,111328
1916062,106749
1916064,108345
1916065,111328
1916078,2684773
1916079,951187
1916080,107987
1916081,113647
1916082,2684779
1916083,107986
1916085,2684777
1916086,107988
1916100,100226
1916101,100197
1916126,1085938
1916128,114917
1916167,109056
1916172,1083909
1916186,104010
1916187,105922
1916189,105654
1916190,101692
1916194,94359
1916208,1875944
1916209,2031052
1916219,111774
1916278,102890
1916279,102890
1916283,96823
1916286,102174
1916294,107746
1916298,103457
1916302,99652
1916303,88201
1916313,95906
1916320,952600
1916321,101699
1916333,952017
1916342,104191
1916346,105053
1916352,102661
1916361,951898
1916365,951666
1916369,951743
1916372,113609
1916377,1088722
1916378,1088722
1916382,103987
1916392,956127
1916393,956125
1916394,88979
1916400,956126
1916405,89033
1916407,956219
1916416,1086343
1916421,1089991
1916422,110329
1916423,2685115
1916424,2685115
1916432,2138394
1916433,105526
1916434,952305
1916435,952306
1916436,953078
1916437,1726383
1916439,2139832
1916440,97380
1916467,1091946
1916489,101798
1916490,102009
1916491,100014
1916492,100142
1916505,92430
1916508,92429
1916531,108675
1916535,1089709
1916536,1089705
1916538,957972
1916545,115017
1916546,950985
1916569,115765
1916572,106941
1916576,106255
1916577,113636
1916594,108675
1916597,108675
1916599,108675
1916602,109521
1916604,114044
1916608,108675
1916609,108675
1916611,108675
1916643,94154
1916653,952399
1916668,99762
1916669,96853
1916676,99065
1916698,1703511
1916706,1703512
1916707,1703513
1916716,104058
1916748,99616
1916756,103414
1916760,950528
1916766,949118
1916770,108187
1916771,114280
1916773,110664
1916777,113495
1916781,106393
1916785,92899
1916787,954630
1916817,101721
1916826,106736
1916831,115721
1916837,115165
1916841,113890
1916842,948954
1916843,1088532
1916846,108189
1916852,113464
1916853,109522
1916856,109106
1916857,109085
1916858,109086
1916861,109086
1916866,109109
1916869,109508
1916880,109508
1916892,1866123
1916894,102996
1916918,99000
1916921,96220
1916926,98391
1916927,105887
1916929,1703399
1916952,104198
1916953,1084769
1916955,1090518
1916959,97140
1916962,98670
1916963,97654
1916964,97654
1916975,97303
1916980,951709
1916983,103814
1916985,103164
1916988,953596
1916991,106095
1917005,114383
1917007,113320
1917040,98841
1917054,950722
1917065,95758
1917069,88795
1917075,101673
1917085,959553
1917094,103468
1917095,104232
1917096,97486
1917102,103917
1917113,958110
1917119,95617
1917125,112890
1917126,115126
1917127,109293
1917128,112829
1917129,112821
1917130,112838
1917131,109294
1917165,107295
1917168,114014
1917176,114422
1917177,114422
1917192,108013
1917193,109413
1917217,102619
1917223,87875
1917236,1090073
1917243,105517
1917265,111038
1917275,110818
1917277,113812
1917278,114594
1917279,114601
1917292,2157064
1917297,2683700
1917298,110638
1917301,949910
1917302,2157064
1917303,2157065
1917307,949545
1917310,111144
1917312,112232
1917323,112228
1917324,112198
1917326,112223
1917327,112223
1917331,111357
1917346,1091405
1917352,1090681
1917360,104902
1917361,105529
1917366,1083193
1917367,1083196
1917368,1083197
1917369,1089434
1917370,115332
1917398,104623
1917400,103784
1917403,102863
1917404,97397
1917405,103681
1917408,94871
1917410,952159
1917413,95044
1917416,95006
1917417,954359
1917418,95351
1917420,93760
1917421,93562
1917424,94710
1917425,94286
1917426,94163
1917427,94163
1917429,93541
1917430,93451
1917431,94791
1917432,93661
1917434,93528
1917436,95322
1917442,95412
1917444,95074
1917445,954211
1917447,1145523
1917448,95182
1917449,95119
1917455,92934
1917456,93119
1917457,92939
1917458,92829
1917459,92329
1917460,91927
1917461,92801
1917464,105730
1917467,105797
1917468,101817
1917470,96779
1917481,98578
1917483,98579
1917484,110800
1917489,114910
1917541,1858703
1917548,951171
1917552,102444
1917553,103252
1917572,953405
1917576,954471
1917579,93573
1917581,93573
1917596,1089535
1917599,1089460
1917600,101218
1917601,101261
1917607,104706
1917609,104677
1917612,105178
1917613,104553
1917633,99788
1917670,1091455
1917671,1091453
1917672,1091451
1917673,949020
1917674,1091456
1917679,105995
1917681,97356
1917683,1087419
1917684,952485
1917696,97307
1917702,92196
1917710,97929
1917723,1875319
1917736,100472
1917738,99712
1917739,1089638
1917741,1089639
1917753,103969
1917754,1884010
1917756,101932
1917761,98238
1917762,103969
1917766,1864954
1917768,102521
1917772,1089499
1917774,1089507
1917780,1882685
1917782,96358
1917787,1864955
1917788,1722559
1917793,98929
1917794,97959
1917796,97960
1917831,101742
1917832,101591
1917841,94964
1917933,952484
1917942,952904
1917944,1090749
1917945,1091752
1917953,952971
1917955,952902
1918001,113897
1918005,114097
1918010,112696
1918041,950429
1918062,114504
1918134,110132
1918136,110215
1918150,106190
1918175,107039
1918186,108312
1918207,109059
1918224,1086273
1918226,105432
1918229,105313
1918236,951974
1918297,958001
1918298,957999
1918340,102650
1918367,951984
1918376,951983
1918413,953615
1918433,99338
1918440,958610
1918441,958609
1918449,103579
1918452,1088558
1918454,951291
1918517,1725338
1918524,1091020
1918526,103616
1918527,1091018
1918532,104489
1918536,2682291
1918537,1854366
1918540,1091233
1918559,1084572
1918562,1084689
1918566,1847172
1918569,98669
1918570,97652
1918575,1084577
1918588,115452
1918591,109616
1918592,948851
1918593,948856
1918594,114073
1918595,1892969
1918617,103378
1918620,107333
1918633,98706
1918634,98704
1918637,91537
1918656,2683944
1918660,2683942
1918668,109575
1918701,2683946
1918706,106883
1918707,106883
1918713,112686
1918716,106186
1918763,92079
1918766,93019
1918768,93017
1918769,93014
1918773,97063
1918774,94477
1918779,98569
1918780,97778
1918781,101802
1918782,101783
1918783,101825
1918784,95591
1918785,95560
1918787,104523
1918788,103086
1918791,100332
1918792,100276
1918794,100301
1918796,98570
1918810,1088592
1918815,96717
1918823,953177
1918830,1084374
1918831,953599
1918836,952207
1918844,105426
1918852,1848322
1918853,1084284
1918868,952720
1918872,956830
1918879,102566
1918883,101181
1918893,102181
1918895,101143
1918904,102220
1918914,95878
1918916,952379
1918917,952717
1918919,951863
1918920,951854
1918921,951842
1918923,105658
1918924,952431
1918926,105809
1918927,105471
1918930,2683694
1918934,1090393
1918935,1333705
1918937,954450
1918941,95249
1918943,101640
1918944,95010
1918945,101754
1918948,102127
1918951,97480
1918955,105505
1918958,101733
1918959,2136577
1918965,98446
1918966,96974
1918970,104675
1918979,104116
1918981,94911
1918982,94911
1918983,93598
1918986,105649
1918987,105619
1918989,94187
1918992,103665
1919018,2685997
1919069,101443
1919077,94739
1919078,94167
1919079,94439
1919082,951023
1919097,1091972
1919099,1089570
1919100,97673
1919101,97706
1919106,1087808
1919107,958101
1919110,1162318
1919117,92916
1919118,93153
1919119,104586
1919129,114970
1919130,101916
1919139,1703393
1919169,1703504
1919179,1884149
1919181,112787
1919182,108780
1919186,1094231
1919187,1094231
1919188,1094231
1919190,1094231
1919191,88201
1919193,1084661
1919201,97355
1919213,1084371
1919218,1084354
1919228,952980
1919230,1722471
1919232,953884
1919233,1722473
1919288,1091493
1919291,1091499
1919295,1476633
1919314,1090622
1919315,1090625
1919316,1090621
1919319,1090625
1919321,1090620
1919325,105558
1919352,1083250
1919397,98401
1919401,100111
1919405,101843
1919410,105266
1919451,114752
1919484,1891177
1919486,108358
1919490,111381
1919491,107719
1919498,114281
1919500,110866
1919501,110870
1919503,1895157
1919506,949157
1919509,949190
1919513,2685491
1919516,1084320
1919518,110827
1919519,949021
1919523,111445
1919524,111444
1919525,1084322
1919527,110826
1919528,949041
1919529,1476630
1919532,2144560
1919535,2144559
1919536,2144561
1919540,1864044
1919543,2034269
1919545,949329
1919546,111430
1919561,1722506
1919562,1722507
1919563,112249
1919564,111625
1919568,111623
1919569,112247
1919570,107279
1919571,107285
1919572,949004
1919574,107283
1919579,112413
1919580,110679
1919581,110681
1919584,111439
1919585,1864046
1919589,110782
1919590,951172
1919591,2685475
1919592,951094
1919593,950470
1919598,949005
1919600,2682382
1919602,1091058
1919606,1895157
1919607,2685493
1919609,949091
1919610,96200
1919612,92942
1919613,1090984
1919618,92107
1919622,107691
1919633,93241
1919634,91963
1919636,954653
1919638,91922
1919639,93296
1919640,91905
1919641,93264
1919642,105058
1919646,106698
1919656,110715
1919662,103119
1919671,103038
1919676,1090508
1919678,97069
1919685,952728
1919690,96535
1919698,954041
1919699,94957
1919700,94951
1919702,94976
1919703,954042
1919706,112939
1919708,950677
1919711,109858
1919724,104356
1919727,104767
1919728,104447
1919736,108437
1919739,109719
1919741,113196
1919742,113842
1919766,106531
1919767,1716262
1919772,948985
1919786,107072
1919827,1716262
1919833,948991
1919836,107072
1919837,110273
1919840,1894895
1919842,96207
1919843,97609
1919855,99622
1919868,952348
1919870,99622
1919871,99622
1919872,952348
1919885,1089493
1919888,1089456
1919897,110280
1919922,948907
1919931,1892294
1919936,111366
1919942,1865648
1919944,106565
1919949,111373
1919950,111368
1919963,110025
1919964,110025
1919967,114608
1919969,114608
1919973,102842
1919980,103649
1919981,97895
1919982,97895
1919984,101934
1919985,95862
1919991,952445
1920025,1084925
1920031,95286
1920032,951958
1920043,108609
1920044,113450
1920045,107422
1920050,107096
1920051,1084323
1920052,1084316
1920054,111360
1920057,113410
1920058,1719509
1920059,1719508
1920060,113513
1920064,96625
1920083,950979
1920084,951010
1920085,115167
1920087,108681
1920089,108681
1920090,108681
1920093,2682366
1920169,952586
1920170,2683598
1920171,2683598
1920173,1089498
1920192,1089505
1920197,2683634
1920198,951690
1920204,1726392
1920207,1726392
1920211,96019
1920220,104126
1920222,96580
1920231,1715333
1920240,100341
1920244,105841
1920247,104126
1920248,105819
1920250,105943
1920253,108347
1920255,2028189
1920261,109890
1920284,1719993
1920285,103631
1920286,101006
1920287,100186
1920289,99613
1920292,952475
1920293,1719995
1920294,94907
1920295,1090331
1920305,94462
1920308,954053
1920317,98397
1920318,100090
1920321,101329
1920325,102770
1920326,102770
1920343,953536
1920344,957310
1920346,100430
1920347,98396
1920349,102191
1920376,109436
1920379,1715343
1920381,1715343
1920382,1715343
1920383,1089706
1920384,1089706
1920386,113742
1920387,113742
1920388,113742
1920391,1884121
1920392,1884121
1920394,951297
1920416,103457
1920417,103457
1920422,108981
1920431,115507
1920435,115556
1920438,115553
1920524,953240
1920532,101513
1920533,96598
1920534,97327
1920536,1726413
1920537,1087421
1920538,101511
1920539,1090123
1920541,97495
1920552,1084358
1920553,1084358
1920559,1084637
1920564,1726412
1920565,1087422
1920566,97326
1920569,97326
1920571,953179
1920575,953034
1920577,2045347
1920579,1087422
1920581,100557
1920583,101521
1920587,101509
1920596,1848326
1920619,112171
1920625,1095184
1920626,98478
1920628,102169
1920639,1084081
1920665,88740
1920676,98720
1920690,102312
1920693,97656
1920694,97583
1920700,97556
1920702,96349
1920715,954627
1920767,2685864
1920778,1864045
1920782,1703494
1920784,103895
1920786,2143986
1920791,952202
1920793,952202
1920796,105461
1920798,105461
1920799,105461
1920800,1086925
1920801,950126
1920815,104747
1920818,952219
1920820,104154
1920824,96376
1920829,104647
1920834,104647
1920857,104747
1920869,94233
1920872,952394
1920884,952520
1920888,110399
1920905,107431
1920908,104409
1920920,93775
1920921,95112
1920934,96716
1920935,2682285
1920939,101631
1920941,101877
1920942,1087579
1920943,103120
1920944,103199
1920951,103316
1920955,103473
1920956,96718
1920957,110407
1920958,110403
1920959,110405
1920960,110404
1920961,2683657
1920963,108581
1920966,951110
1920967,950182
1920968,949282
1920973,109264
1920975,1725345
1920976,951101
1920980,114567
1920981,951178
1920982,114554
1920986,114331
1921026,948984
1921055,104496
1921058,951798
1921060,102273
1921066,102273
1921074,104496
1921102,97271
1921103,100628
1921104,100685
1921108,97071
1921110,97071
1921175,1476648
1921184,1476649
1921185,1476647
1921216,110140
1921225,102074
1921255,98928
1921257,102385
1921259,951942
1921260,98023
1921261,104545
1921264,97242
1921265,101524
1921266,101695
1921267,101916
1921270,96043
1921274,97901
1921280,96067
1921281,105024
1921282,104224
1921293,105087
1921294,104214
1921295,104208
1921297,103341
1921299,105067
1921301,953515
1921303,97184
1921304,105889
1921307,99499
1921308,951940
1921311,104112
1921314,104885
1921317,104852
1921318,95771
1921319,96893
1921320,98448
1921321,104058
1921322,105750
1921323,102413
1921328,104600
1921333,104989
1921337,104751
1921342,104611
1921343,104371
1921344,101385
1921345,101646
1921350,95813
1921358,103442
1921359,101079
1921364,101465
1921367,104424
1921368,104433
1921370,104268
1921371,1719990
1921372,104100
1921373,96692
1921374,1719991
1921376,98900
1921377,100689
1921378,104556
1921380,104252
1921382,96302
1921383,952563
1921384,104276
1921385,104263
1921386,102286
1921388,99341
1921389,103274
1921390,103274
1921391,97203
1921392,97203
1921393,102713
1921394,102713
1921395,1091488
1921396,1091488
1921397,96034
1921398,98179
1921399,103349
1921400,951949
1921401,104318
1921405,104318
1921409,102684
1921411,97904
1921414,97023
1921415,104130
1921416,105025
1921421,101830
1921425,951845
1921428,104121
1921430,101959
1921433,96666
1921434,101852
1921435,102780
1921436,96684
1921437,102008
1921440,951938
1921441,101816
1921442,101874
1921444,93432
1921445,94186
1921448,96450
1921466,103379
1921469,2146680
1921470,2146672
1921472,2146674
1921475,2146679
1921477,108452
1921482,106828
1921483,106801
1921484,114225
1921485,113394
1921505,102861
1921513,953768
1921528,953722
1921530,953725
1921552,96566
1921556,96260
1921564,104575
1921578,1719493
1921582,2682419
1921587,2682419
1921625,1882671
1921626,1882671
1921627,2685809
1921637,91296
1921641,91415
1921751,956388
1921810,955180
1921824,88710
1921839,88564
1921840,87823
1921841,88084
1921850,91698
1921851,958209
1921853,88636
1921863,88926
1921921,88592
1921927,88094
1921950,88971
1921955,88867
1921961,88617
1921964,91605
1922003,1087827
1922030,88584
1922067,1087834
1922069,958209
1922090,91333
1922131,955181
1922193,93570
1922194,93634
1922196,95103
1922197,93636
1922199,94081
1922201,94106
1922202,94082
1922208,95104
1922210,94096
1922212,954261
1922216,94214
1922218,94847
1922221,93925
1922223,95036
1922237,95110
1922242,95034
1922244,95022
1922246,94843
1922247,95039
1922248,94130
1922249,94845
1922251,95070
1922252,93565
1922253,95373
1922256,94851
1922257,93561
1922258,94848
1922260,93965
1922266,91830
1922271,96104
1922278,115254
1922280,102531
1922281,102332
1922282,102531
1922291,99122
1922310,106008
1922314,105420
1922315,105983
1922316,105674
1922319,114993
1922325,949401
1922326,2685265
1922328,949422
1922329,949396
1922333,115225
1922340,113951
1922372,91809
1922437,953138
1922555,949961
1922587,949961
1922611,1092064
1922670,108805
1922683,1083212
1922686,91290
1922695,112582
1922709,98263
1922716,1084085
1922720,960059
1922726,96544
1922732,2683681
1922738,1091743
1922739,1091007
1922747,105960
1922761,951903
1922762,951912
1922774,949828
1922784,949172
1922789,949173
1922798,106100
1922802,2038590
1922804,1091270
1922805,1090893
1922806,949195
1922811,2685686
1922832,949132
1922833,1091266
1922835,104134
1922864,92016
1922876,1090193
1922877,109274
1922880,2685471
1922885,950655
1922886,948267
1922887,950662
1922888,949393
1922889,950660
1922891,950675
1922894,949418
1922895,949429
1922897,948267
1922898,1704339
1922899,1704340
1922901,957985
1922902,957978
1922904,957985
1922905,957973
1922906,957997
1922910,957978
1922915,94640
1922916,93856
1922917,94113
1922918,112681
1922923,92845
1922925,103322
1922927,1090443
1922938,99193
1922948,109467
1922950,109494
1922956,106760
1922959,111103
1922990,101230
1922991,101423
1922995,2685986
1922996,104417
1922998,2685987
1923004,104395
1923007,104929
1923025,948823
1923026,948823
1923027,948823
1923033,948844
1923034,948844
1923037,109544
1923039,109545
1923040,109544
1923041,109545
1923045,108097
1923052,110841
1923055,108553
1923056,106232
1923058,115638
1923059,106369
1923061,114366
1923063,111450
1923073,106491
1923078,949626
1923079,949684
1923082,110777
1923083,1714966
1923087,110785
1923094,1476639
1923099,953958
1923109,103487
1923111,103205
1923112,95748
1923191,115564
1923192,106248
1923221,1089626
1923241,951667
1923258,952625
1923269,952502
1923275,951742
1923278,1873555
1923284,952587
1923298,100378
1923306,948674
1923307,2684815
1923326,115401
1923328,111395
1923329,106379
1923336,106145
1923341,108579
1923348,111936
1923350,1163156
1923351,110634
1923352,110628
1923357,950241
1923359,949159
1923361,950241
1923377,950723
1923407,2034267
1923424,99249
1923426,1086004
1923434,1091443
1923444,114896
1923449,1088937
1923450,1087450
1923451,1087204
1923468,2136689
1923472,2137892
1923477,103105
1923479,103427
1923480,102745
1923482,102348
1923483,102372
1923485,105319
1923487,103347
1923488,103455
1923502,105292
1923524,96448
1923532,91884
1923540,101914
1923543,95885
1923547,103263
1923549,99744
1923571,113678
1923575,1089521
1923582,109559
1923596,105577
1923602,104111
1923605,101903
1923612,105577
1923614,104123
1923616,952664
1923639,951878
1923643,1091549
1923644,948645
1923645,948645
1923662,951413
1923663,951402
1923687,105201
1923723,98539
1923730,93650
1923731,94811
1923734,1094785
1923735,94728
1923736,94867
1923757,95519
1923761,2037285
1923762,1895474
1923763,97701
1923768,958162
1923771,952465
1923772,98648
1923777,97710
1923778,102714
1923782,102183
1923783,102046
1923786,1859119
1923789,103108
1923791,953864
1923795,95506
1923798,100333
1923801,952465
1923802,1089598
1923804,97702
1923808,2685931
1923810,2685930
1923811,105698
1923814,102388
1923815,105764
1923817,1710210
1923818,104068
1923820,1710209
1923821,2685929
1923831,2682295
1923833,1090275
1923834,97881
1923841,100386
1923858,1884045
1923871,104098
1923875,110946
1923878,113169
1923885,91827
1923888,954772
1923890,91874
1923891,91874
1923892,92184
1923897,92730
1923899,92633
1923901,93070
1923902,93281
1923903,91875
1923905,91898
1923909,954808
1923911,954813
1923914,954812
1923925,953158
1923931,953108
1923941,1086564
1923944,103011
1923966,953419
1923971,2037287
1923973,952027
1923977,1084672
1923978,1084671
1923988,92382
1923992,954605
1923993,954624
1924005,96736
1924010,958212
1924026,105317
1924027,104520
1924041,952877
1924047,106665
1924056,948664
1924081,106965
1924083,948753
1924085,106965
1924086,103424
1924088,99991
1924090,98986
1924093,103284
1924094,98061
1924096,104129
1924098,104703
1924102,97229
1924107,104532
1924108,102193
1924109,104174
1924110,99147
1924111,98942
1924115,98700
1924120,105401
1924125,98365
1924130,103439
1924150,91708
1924151,91708
1924152,91709
1924155,91708
1924161,92383
1924165,96843
1924168,1087551
1924182,1858707
1924184,1858707
1924190,102486
1924192,104633
1924202,98015
1924205,1849174
1924207,104963
1924213,103433
1924215,92941
1924217,92595
1924219,92595
1924220,101860
1924221,102814
1924232,105468
1924233,102359
1924235,1090630
1924237,98235
1924246,93071
1924248,93298
1924250,92896
1924252,92924
1924265,104393
1924266,104851
1924267,104695
1924270,102234
1924271,102226
1924275,952686
1924308,953594
1924309,100730
1924313,2030238
1924314,954525
1924319,105109
1924320,96083
1924324,103628
1924326,102447
1924328,1090347
1924330,103692
1924332,100547
1924334,954385
1924341,101353
1924342,93777
1924343,93444
1924345,103628
1924350,99993
1924355,100707
1924372,103153
1924375,101925
1924378,98945
1924380,98650
1924382,102454
1924384,105604
1924391,102910
1924395,102097
1924396,102185
1924406,102018
1924458,1726428
1924460,1726428
1924469,1847167
1924486,98030
1924491,1090321
1924495,1089441
1924497,115234
1924499,115233
1924507,1895471
1924508,102612
1924526,951029
1924529,102845
1924530,99214
1924531,103829
